title,year,length,budget,rating,Genre
Assassins,1995,132,50000000,5.7,Action
Assault on Precinct 13,2005,109,20000000,6.3,Drama
Assisted Living,2003,78,500000,7.4,Drama
Asterix in Amerika,1994,85,12500000,5.4,Comedy
"Astronaut's Wife, The",1999,109,34000000,4.8,Unknown
Aswang,1994,82,70000,4.6,Unknown
At First Sight,1999,128,40000000,5.7,Drama
At Night with No Curtains,2004,87,8000,2.7,Drama
Atlantida,2002,93,1000000,7.6,Romance
Atlantis: The Lost Empire,2001,95,90000000,6.4,Animation
Atrapados,1999,26,3500,9.4,Short
"Attic Expeditions, The",2001,100,1000000,5.4,Unknown
Attic Man,2004,10,6000,8.7,Short
Aura,2002,22,19000,8.5,Short
Aurora,1998,87,90000,4.5,Documentary
Austin Powers in Goldmember,2002,94,63000000,6.2,Comedy
Austin Powers: International Man of Mystery,1997,94,17000000,7,Comedy
Austin Powers: The Spy Who Shagged Me,1999,95,33000000,6.5,Comedy
"Auteur Theory, The",1999,79,70000,4.5,Comedy
Auto Focus,2002,105,7000000,6.7,Drama
Automation,2004,26,41000,6.1,Short
Autumn in New York,2000,103,40000000,4.7,Romance
Avalon,2001,106,8000000,6.8,Drama
Avatars,2001,5,20000,3.3,Short
"Avengers, The",1998,89,60000000,3.4,Action
"Aviator, The",2004,170,116000000,7.5,Drama
"Awfully Big Adventure, An",1995,112,4000000,5.8,Drama
Ayurveda: Art of Being,2001,102,300000,7.2,Documentary
Babe,1995,89,30000000,7.4,Drama
Babe: Pig in the City,1998,97,80000000,6.5,Comedy
Babel,1999,95,20000000,4.5,Unknown
Baby Blue,2001,119,2500000,6.4,Unknown
Baby Boy,2001,130,16000000,6.2,Romance
Baby Geniuses,1999,97,13000000,2.4,Comedy
Baby's Day Out,1994,99,50000000,4.4,Comedy
Bacheha-Ye aseman,1997,89,180000,7.6,Drama
"Bachelor, The",1999,101,21000000,5,Romance
Back to the Future Part III,1990,118,40000000,6.7,Comedy
Back to the Future... The Ride,1991,4,40000000,7.3,Short
Bad Boy Bubby,1993,112,750000,7,Drama
Bad Boys,1995,118,23000000,6.4,Comedy
Bad Boys II,2003,145,130000000,6.1,Comedy
Bad Company,2002,116,70000000,5.4,Comedy
Bad Girls from Mars,1991,86,52000,3.7,Comedy
Bad Moon,1996,80,7000000,4.4,Action
Bad Santa,2003,98,18000000,7.2,Comedy
"Badge, The",2002,103,6000000,6.3,Drama
Badkonake sefid,1995,85,150000,7.4,Drama
Bait,2000,119,35000000,5.6,Comedy
"Ballad of Jack and Rose, The",2005,112,1500000,6.2,Drama
Ballistic: Ecks vs. Sever,2002,91,70000000,3.4,Action
Bamboozled,2000,135,10000000,6.3,Drama
Bandits,2001,123,80000000,6.7,Romance
"Banger Sisters, The",2002,98,10000000,5.6,Drama
"Bank Robbery, The",2003,2,1000,5.7,Short
Baptists at Our Barbecue,2004,92,500000,5.9,Romance
Barbershop,2002,102,12000000,6.6,Drama
Barbershop 2: Back in Business,2004,106,18000000,5.7,Comedy
Barcelona,1994,101,3200000,6.6,Romance
Barney's Great Adventure,1998,76,15000000,2.9,Unknown
Barriers,1998,96,140000,8,Unknown
Barton Fink,1991,116,9000000,7.5,Drama
Basic,2003,98,50000000,6.2,Drama
Basic Instinct,1992,128,49000000,6.7,Unknown
Basil,1998,113,10000000,6.1,Romance
Basket Case 2,1990,90,2500000,3.9,Comedy
"Basket, The",1999,105,3000000,6.3,Drama
Batman & Robin,1997,125,110000000,3.6,Action
Batman Forever,1995,122,100000000,5.4,Romance
Batman Returns,1992,126,80000000,6.5,Romance
Batman: Dead End,2003,8,30000,7.3,Short
Batoru rowaiaru,2000,122,4500000,7.9,Drama
Batoru rowaiaru II: Rekuiemu,2003,155,9000000,4.8,Action
"Battle of Shaker Heights, The",2003,90,1000000,6,Romance
Battlefield Earth: A Saga of the Year 3000,2000,119,73000000,2.4,Action
Be Cool,2005,118,53000000,5.5,Comedy
Be Good Daniel,2004,20,4000,5.7,Short
"Beach, The",2000,119,50000000,5.8,Drama
Bean,1997,90,22000000,5.4,Comedy
Bean Cake,2001,12,12000,6.8,Short
Beaster,2004,10,5000,6.9,Short
Beastmaster 2: Through the Portal of Time,1991,107,6000000,3.1,Action
Beat the Drum,2003,114,1500000,7,Drama
"Beat, The",2003,85,700000,8.5,Drama
Beautiful,2000,112,9000000,5.3,Drama
"Beautiful Country, The",2004,137,6000000,6.9,Drama
"Beautiful Mind, A",2001,135,60000000,7.8,Drama
Beauty in Chaos,2004,120,30000,8.8,Drama
Beavis and Butt-Head Do America,1996,81,12000000,6.2,Comedy
Because of Winn-Dixie,2005,106,14000000,5.9,Drama
Beccerra,2002,30,3000,7.1,Short
Bedazzled,2000,93,48000000,5.9,Comedy
Beer Muscles,2004,90,5000,9.3,Comedy
Before Sunrise,1995,105,2500000,7.8,Romance
Before Sunset,2004,80,10000000,8.3,Romance
Begotten,1991,78,33000,5.8,Unknown
Behind Enemy Lines,2001,106,40000000,6.1,Drama
Being Human,1993,122,30000000,4.8,Drama
Being John Malkovich,1999,113,13000000,7.9,Drama
Being Julia,2004,104,18000000,7.2,Drama
Bela Donna,1998,111,5500000,4.7,Romance
Bells of Innocence,2003,110,2750000,2.7,Unknown
Belly,1998,96,10000000,4.5,Drama
Belly of the Beast,2003,91,18000000,4.2,Action
Beloved,1998,172,53000000,5.6,Drama
Below the Belt,2004,95,1500000,7.9,Comedy
Beowulf,1999,99,20000000,3.7,Action
Best Laid Plans,1999,92,7000000,6.3,Drama
Best in Show,2000,90,6000000,7.5,Comedy
Betrayal,2003,90,750000,4.7,Drama
Better Luck Tomorrow,2002,98,250000,7.3,Drama
"Better Place, A",1997,87,100000,5.8,Drama
Better Than Sex,2002,92,300000,6.8,Comedy
Bettie Page: Dark Angel,2004,90,50000,3.4,Drama
Beverly Hills Cop III,1994,104,50000000,4.7,Comedy
Beyond Borders,2003,127,35000000,5.4,Romance
Beyond Expectations,1998,94,60000,7.6,Comedy
Beyond Rangoon,1995,100,23000000,6.4,Drama
Beyond Re-Animator,2003,96,3000000,6.1,Comedy
Beyond the Mat,1999,108,500000,7.3,Documentary
Beyond the Pale,1999,96,350000,6.2,Drama
Beyond the Sea,2004,118,24000000,6.7,Drama
Bicentennial Man,1999,132,100000000,6.2,Romance
"Big Bounce, The",2004,88,50000000,4.7,Comedy
"Big Brass Ring, The",1999,104,7000000,5.4,Drama
Big Bully,1996,90,15000000,4.2,Drama
Big Daddy,1999,93,34200000,5.9,Comedy
Big Fat Liar,2002,88,15000000,5.5,Comedy
Big Fish,2003,125,70000000,8.1,Drama
"Big Hit, The",1998,91,13000000,5.7,Comedy
"Big Lebowski, The",1998,117,15000000,8,Comedy
Big Momma's House,2000,98,30000000,4.7,Comedy
"Big Tease, The",1999,86,4000000,6.1,Comedy
Big Trouble,2002,85,40000000,6.4,Comedy
Bigger Than the Sky,2005,106,750000,7.3,Romance
Bill & Ted's Bogus Journey,1991,93,20000000,5.6,Comedy
Billy Elliot,2000,110,5000000,7.7,Drama
Bingo,1991,89,10000000,4.1,Comedy
"Bingo Bus, A",2004,30,4000,6.6,Short
Birdy in the Cage,2003,9,2000,9,Short
Birth,2004,100,20000000,6,Romance
Birthday Girl,2001,93,13000000,6.1,Romance
Bitter Old Man,2003,7,2000,8.8,Short
Black Canyon,2004,25,3000,9.9,Short
Black Gulch,2003,15,55000,6,Short
Black Hawk Down,2001,142,90000000,7.6,Drama
Black Knight,2001,95,50000000,4.1,Comedy
Black and White,1999,98,10000000,5.2,Drama
Black-Eyed Susan,2004,105,50000,7.4,Comedy
Blacktop,2000,100,3500000,4.7,Unknown
Blackwater Elegy,2003,19,40000,9,Short
Blade,1998,110,45000000,6.8,Action
Blade II,2002,108,55000000,6.6,Action
Blade: Trinity,2004,124,65000000,5.7,Action
"Blair Witch Mountain Project, The",2002,12,7000,2.8,Short
"Blair Witch Project, The",1999,86,35000,6.1,Unknown
Blast from the Past,1999,112,35000000,6.4,Romance
Blaze Orange,2005,16,0,9.6,Short
Bless the Child,2000,107,40000000,5,Unknown
"Blessing of Prometheus, The",2000,20,0,6.1,Short
Blind Horizon,2003,99,5100000,5.5,Drama
Blink,1994,106,11000000,6.1,Unknown
Blitz,2002,28,5000,6.3,Short
Blood Shot,2002,28,35000,4.5,Short
Blood Work,2002,110,50000000,6.3,Drama
Blood and Wine,1996,101,26000000,6,Drama
Blood of the Beast,2003,74,2000,9.1,Unknown
Blood of the Samurai,2001,75,2000,6.5,Action
"Blood, Guts, Bullets and Octane",1998,87,7300,5.3,Comedy
Bloodletting,1997,89,10000,4.8,Unknown
Bloodsucking Pharaohs in Pittsburgh,1991,89,250000,3.6,Comedy
Bloody Sunday,2002,107,5000000,7.6,Drama
Bloom,2004,7,0,6.8,Short
Blotter,2004,20,15000,7.1,Short
Blow,2001,124,30000000,7.1,Drama
Blue Citrus Hearts,2003,115,3000,7,Drama
Blue Crush,2002,104,30000000,5.7,Romance
Blue Hill Avenue,2001,120,1200000,6.6,Drama
Blue Moon,1998,90,1000,6.8,Romance
Blue Streak,1999,93,36000000,5.8,Comedy
Blue in Green,2005,91,50000,9.1,Drama
Blue in the Face,1995,83,2000000,6.4,Comedy
Bluefish,2003,24,7000,7.6,Short
Blues Brothers 2000,1998,123,28000000,4.5,Comedy
Boat Trip,2002,97,20000000,4.5,Comedy
Body Parts,1991,88,10000000,4.6,Unknown
Body of Evidence,1993,102,30000000,4.1,Romance
Body of Influence 2,1996,87,1200000,3.4,Unknown
Bogus,1996,110,32000000,5,Drama
Boiler Room,2000,118,9000000,6.8,Drama
Bon voyage,2003,115,20000000,7.2,Drama
"Bone Collector, The",1999,118,48000000,6.2,Drama
"Bone Snatcher, The",2003,96,6000000,4.1,Unknown
Bones,2001,96,16000000,4.2,Unknown
"Bonfire of the Vanities, The",1990,125,47000000,5,Drama
Bono,2004,97,250000,1,Drama
Boogeyman,2005,89,20000000,4.1,Drama
Boogie Nights,1997,156,15000000,7.6,Drama
"Book That Wrote Itself, The",1999,71,25000,4.5,Comedy
"Book and the Rose, The",2001,29,40000,9,Short
"Book of Life, The",1998,63,350000,6.7,Comedy
"Book of Mormon Movie, Volume 1: The Journey, The",2003,120,2000000,3.4,Unknown
Book of Shadows: Blair Witch 2,2000,90,15000000,4.2,Unknown
Boomerang,1992,118,42000000,5.1,Romance
"Borrowers, The",1997,89,29000000,5.6,Comedy
"Bossu, Le",1997,128,30000000,7.1,Drama
Bottle Rocket,1996,92,7000000,7.4,Romance
Bottomfeeders,2001,92,500000,7.4,Comedy
Bounce,2000,106,35000000,5.8,Romance
Bound,1996,109,4500000,7.5,Romance
Bound by Honor,1993,190,35000000,7.4,Drama
"Bourne Identity, The",2002,119,75000000,7.3,Drama
"Bourne Supremacy, The",2004,108,75000000,7.3,Drama
Bowfinger,1999,97,55000000,6.4,Comedy
Bowling for Columbine,2002,120,4000000,8.5,Documentary
Boxed,2002,80,500000,6.5,Unknown
Boxers and Ballerinas,2004,90,85000,7.7,Documentary
Boy s tenyu,2005,132,3500000,4.8,Action
Boy-Next-Door,2004,17,50000,9.4,Short
Boys Don't Cry,1999,118,2000000,7.6,Drama
Boys Night Out,1996,34,30000,7.7,Short
Boys and Girls,2000,94,16000000,4.9,Romance
Boys on the Side,1995,115,21000000,6.1,Drama
Boyz n the Hood,1991,107,6000000,7.7,Drama
"Brady Bunch Movie, The",1995,90,12000000,5.6,Comedy
Braindead,1992,97,3000000,7.5,Romance
Brat 2,2000,122,1500000,6.7,Action
Braveheart,1995,177,53000000,8.3,Drama
Bravo Two Zero,1999,115,6500000,6.5,Unknown
"Bread, My Sweet, The",2001,105,600000,6.8,Romance
Break Up,1998,100,9000000,5.1,Drama
Breakdown,1997,95,36000000,6.7,Action
Breakfast of Champions,1999,110,12000000,4.2,Comedy
Breathing Room,1996,90,500000,4,Romance
"Breed, The",2001,91,4000000,4.7,Action
Bride & Prejudice,2004,122,7000000,6.3,Romance
Bride of Chucky,1998,89,25000000,5.2,Comedy
Bride of the Wind,2001,99,12000000,5.2,Drama
Bridge of Dragons,1999,95,4000000,3.7,Romance
"Bridges of Madison County, The",1995,135,22000000,6.9,Romance
Bridget Jones's Diary,2001,97,26000000,7,Romance
Bridget Jones: The Edge of Reason,2004,108,70000000,5.7,Romance
Brigham City,2001,119,1000000,7.1,Drama
Bring It On,2000,98,10000000,6.1,Comedy
Bringing Down the House,2003,105,35000000,5.6,Comedy
Bringing Out the Dead,1999,121,32000000,6.7,Drama
Bringing Rain,2003,82,150000,5.6,Romance
Broadcast 23,2005,7,2500,5.7,Short
Broken Arrow,1996,108,65000000,5.7,Action
"Broken Hearts Club: A Romantic Comedy, The",2000,94,1000000,6.8,Drama
Broken Vessels,1998,90,600000,6.1,Drama
"Bronx Tale, A",1993,121,22000000,7.5,Drama
Brooklyn Bound,2004,90,70000,4.2,Drama
Brother,2000,114,12000000,7.1,Unknown
"Brothers McMullen, The",1995,98,23800,6.4,Drama
Brothers in Arms,2003,68,500000,4.6,Documentary
"Brown Bunny, The",2003,119,10000000,5.1,Drama
Brown Sugar,2002,109,8000000,5.9,Romance
Bruce Almighty,2003,101,81000000,6.4,Romance
"Bruce, The",1996,90,500000,4.5,Unknown
Bruno,2000,108,10000000,6,Drama
"Brylcreem Boys, The",1998,106,6000000,6,Romance
Bubba Ho-tep,2002,92,1000000,7.5,Comedy
Bubble Boy,2001,84,13000000,5.1,Romance
Budbringeren,1997,83,2100000,6.8,Comedy
Buena onda,1999,11,2000,5.2,Short
Buffalo '66,1998,110,1500000,7.2,Drama
Buffalo Soldiers,2001,98,15000000,7,Drama
Bug Buster,1998,93,8500000,2.9,Comedy
"Bug Man, The",2003,22,28000,6.7,Short
"Bug's Life, A",1998,96,45000000,7.4,Comedy
Bugsy,1991,134,40000000,6.6,Drama
Bulletproof Monk,2003,104,52000000,5.2,Comedy
Bullets Over Broadway,1994,98,20000000,7.4,Romance
Bulworth,1998,108,30000000,6.9,Romance
Bumer,2003,110,700000,6.5,Drama
"Burial Society, The",2002,94,1500000,6.5,Unknown
Burying Dvorak,2003,19,5000,9.4,Short
Bushmen,2004,15,10000,8.3,Short
"Business of Fancydancing, The",2002,103,200000,7.3,Drama
Bussed,2003,31,10000,5.2,Short
Busting Out,2004,57,100000,9.4,Documentary
But I'm a Cheerleader,1999,85,1200000,6.2,Romance
"Butterfly Effect, The",2004,120,13000000,7.6,Drama
CQ,2001,91,7000000,6.4,Drama
Cabin Fever,2002,93,1500000,5.1,Unknown
"Cable Guy, The",1996,96,47000000,5.5,Drama
Cachimba,2004,127,950000,6.6,Comedy
Cafe Society,1995,104,3500000,5.7,Drama
Caffeine Headache,2003,24,2000,7.7,Short
Calendar Girl,1993,90,13000000,4.7,Drama
California Casanova,1991,90,350000,4.9,Comedy
Calling Bobcat,2000,91,230000,5,Unknown
Callous Sentiment,2002,13,10000,7.7,Short
Cama adentro,2004,83,800000,7.3,Unknown
Camp Pacific,2002,29,35000,9.1,Short
Camp Slaughter,2004,95,350000,2,Unknown
Can't Be Heaven,2000,94,2000000,5.7,Romance
Can't Hardly Wait,1998,101,10000000,6.2,Romance
Canadian Bacon,1995,91,11000000,5.5,Comedy
Candyman,1992,99,8000000,6.3,Drama
Cape Fear,1991,128,35000000,7.1,Drama
Cape of Good Hope,2004,107,3000000,9.7,Drama
Captain Corelli's Mandolin,2001,131,57000000,5.9,Romance
Carandiru,2003,147,6000000,7.7,Drama
Carlos contra el mundo,2002,91,1000000,5.4,Drama
Carnival of Souls,1998,90,2000000,2.8,Unknown
Carnosaur,1993,83,1000000,3.1,Unknown
Carpool,1996,89,17000000,4.5,Comedy
Casino,1995,176,52000000,7.8,Drama
Casper,1995,100,55000000,5.6,Comedy
Casshern,2004,141,5000000,6.5,Drama
Cast Away,2000,143,90000000,7.3,Drama
"Cat in the Hat, The",2003,82,109000000,3.2,Comedy
Catch Me If You Can,2002,141,52000000,7.6,Drama
Catch That Kid,2004,91,18000000,4.5,Comedy
Cats & Dogs,2001,87,60000000,5.4,Comedy
Cats Don't Dance,1997,75,32000000,6.4,Comedy
Catwoman,2004,104,85000000,3.4,Action
Causality,2004,9,15000,9.7,Short
"Cavalieri che fecero l'impresa, I",2001,147,8000000,5.7,Drama
Cecil B. DeMented,2000,87,10000000,6,Comedy
Celebrity,1998,113,12000000,6.1,Comedy
"Cell, The",2000,109,33000000,6.1,Unknown
"Cellar, The",2003,20,5000,7.1,Short
Cellular,2004,94,25000000,6.4,Action
Centipede!,2004,90,500000,3.6,Action
Central do Brasil,1998,108,2900000,7.9,Drama
Chacun cherche son chat,1996,91,300000,7,Romance
Chain Reaction,1996,106,55000000,5.1,Drama
Chain of Fools,2000,96,20000000,6.1,Comedy
Chairman of the Board,1998,95,10000000,2.6,Comedy
Chalk,1996,134,400000,8.6,Unknown
"Chamber, The",1996,113,50000000,5.7,Drama
Champagne Society,2003,20,5000,4.5,Short
Chance,2002,73,150000,8,Drama
Chandelier,2004,20,32000,8.7,Short
"Change of Climate, A",1999,19,15000,4.6,Short
Changing Habits,1997,95,1200000,5.5,Drama
Changing Lanes,2002,99,45000000,6.6,Drama
Channeling Alphonse,2003,12,0,7.6,Short
Chapter Zero,1999,104,1500000,5.1,Comedy
Charlie,2004,94,5000000,5,Drama
Charlie's Angels,2000,94,92000000,5.8,Comedy
Charlie's Angels: Full Throttle,2003,107,120000000,5,Comedy
Charlotte Sometimes,2002,85,80000,4.6,Drama
Charly,2002,103,950000,5.5,Romance
Charming Billy,1999,82,250000,5.3,Unknown
"Chase, The",2003,3,2000,8.3,Short
Chasing Amy,1997,111,250000,7.6,Romance
Chasing Jason,2004,7,2000,7,Short
Chasing Liberty,2004,111,23000000,5.7,Romance
Chasing the Edge,2004,15,0,9.2,Short
Cheaper by the Dozen,2003,98,40000000,5.8,Drama
Cheerleader,2003,24,5500,8.8,Short
Cherish,2002,99,1500000,6.5,Drama
Cherry Falls,2000,92,14000000,4.9,Comedy
"Cherry Orchard, The",1999,141,5000000,6.4,Drama
Chicago,2002,113,45000000,7.5,Drama
Chicken Run,2000,84,42000000,7.4,Comedy
Child Psychology,2004,14,7000,6.6,Short
Child's Play 2,1990,84,13000000,4.5,Comedy
Childhood's End,1997,115,600000,4.4,Drama
Children On Their Birthdays,2002,102,10000000,6,Drama
Children of the Arcana,2003,22,11000,7.1,Short
Children of the Corn II: The Final Sacrifice,1993,92,900000,3.2,Unknown
Chill Factor,1999,101,34000000,5,Comedy
Choke,1999,98,550000,5.6,Documentary
Choosing Matthias,2001,90,2500000,4.9,Drama
Chopin. Pragnienie milosci,2002,134,3500000,4,Romance
Christmas with the Kranks,2004,98,60000000,4.5,Comedy
"Chronicles of Riddick, The",2004,135,110000000,6.2,Action
Chronotrip,2002,74,10000,4,Documentary
